WEAT,Performance Gap,Metric,Test,Embedding,Name
0.37306775,-5.66,Recall,9,fastText,fasttext_twitter_en_debias_all_weat.txt.vectors
-0.2600383,-6.16,Precision,6,fastText,fasttext_twitter_en_debias_all_weat.txt.vectors
-0.2600383,-5.66,Recall,6,fastText,fasttext_twitter_en_debias_all_weat.txt.vectors
-1.2047041,5.9,Precision,7,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
-1.2047041,1.96,Recall,7,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
-1.4305264,5.9,Precision,8,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
-1.4305264,1.96,Recall,8,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
0.68466745,5.9,Precision,9,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
0.68466745,1.96,Recall,9,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
-0.9233683,5.9,Precision,6,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
-0.9233683,1.96,Recall,6,fastText,fasttext_twitter_en_debias_max_all_weat.txt.vectors
0.76116279,-2,Precision,7,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.76116279,-4.52,Recall,7,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
-0.0530011,-2,Precision,8,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
-0.0530011,-4.52,Recall,8,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.62878214,-2,Precision,9,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.62878214,-4.52,Recall,9,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.40900446,-2,Precision,6,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.40900446,-4.52,Recall,6,fastText,fasttext_twitter_en_debias_max_pleasant_female.txt.vectors
0.99507347,8.86,Precision,7,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.99507347,-4.03,Recall,7,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.39489997,8.86,Precision,8,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.39489997,-4.03,Recall,8,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.36228262,8.86,Precision,9,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.36228262,-4.03,Recall,9,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
-0.0585577,8.86,Precision,6,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
-0.0585577,-4.03,Recall,6,fastText,fasttext_twitter_en_debias_pleasant_female.txt.vectors
0.3601083,11.83,Precision,7,fastText,fasttext_twitter_en_overbias_6.txt.vectors
0.3601083,-2.39,Recall,7,fastText,fasttext_twitter_en_overbias_6.txt.vectors
0.63216506,11.83,Precision,8,fastText,fasttext_twitter_en_overbias_6.txt.vectors
0.63216506,-2.39,Recall,8,fastText,fasttext_twitter_en_overbias_6.txt.vectors
-0.2750398,11.83,Precision,9,fastText,fasttext_twitter_en_overbias_6.txt.vectors
-0.2750398,-2.39,Recall,9,fastText,fasttext_twitter_en_overbias_6.txt.vectors
1.28669719,11.83,Precision,6,fastText,fasttext_twitter_en_overbias_6.txt.vectors
1.28669719,-2.39,Recall,6,fastText,fasttext_twitter_en_overbias_6.txt.vectors
1.14434999,1.94,Precision,7,fastText,fasttext_twitter_en_overbias_7.txt.vectors
1.14434999,-2.87,Recall,7,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.91995412,1.94,Precision,8,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.91995412,-2.87,Recall,8,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.47157024,1.94,Precision,9,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.47157024,-2.87,Recall,9,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.57239452,1.94,Precision,6,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.57239452,-2.87,Recall,6,fastText,fasttext_twitter_en_overbias_7.txt.vectors
0.76510182,-4.2,Precision,7,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.76510182,-4.52,Recall,7,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.99395451,-4.2,Precision,8,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.99395451,-4.52,Recall,8,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.04597658,-4.2,Precision,9,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.04597658,-4.52,Recall,9,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.59267244,-4.2,Precision,6,fastText,fasttext_twitter_en_overbias_8.txt.vectors
0.59267244,-4.52,Recall,6,fastText,fasttext_twitter_en_overbias_8.txt.vectors
1.61844219,8.53,Precision,7,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.61844219,-4.03,Recall,7,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.53954185,8.53,Precision,8,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.53954185,-4.03,Recall,8,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
0.50206016,8.53,Precision,9,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
0.50206016,-4.03,Recall,9,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.47849562,8.53,Precision,6,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.47849562,-4.03,Recall,6,fastText,fasttext_twitter_en_overbias_all_weat.txt.vectors
1.12379128,10.23,Precision,7,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
1.12379128,-2.39,Recall,7,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.86955906,10.23,Precision,8,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.86955906,-2.39,Recall,8,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.95001103,10.23,Precision,9,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.95001103,-2.39,Recall,9,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.88702796,10.23,Precision,6,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
0.88702796,-2.39,Recall,6,fastText,fasttext_twitter_en_overbias_pleasant_female.txt.vectors
1.40194788,-4.42,Precision,7,word2vec,w2v_all_tweets_processed_en.tsv.vectors
1.40194788,-6.15,Recall,7,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.01428973,-4.42,Precision,8,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.01428973,-6.15,Recall,8,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.38490739,-4.42,Precision,9,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.38490739,-6.15,Recall,9,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.46002151,-4.42,Precision,6,word2vec,w2v_all_tweets_processed_en.tsv.vectors
0.46002151,-6.15,Recall,6,word2vec,w2v_all_tweets_processed_en.tsv.vectors
1.48816457,-1.3,Precision,7,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
1.48816457,-0.17,Recall,7,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
0.4693747,-1.3,Precision,8,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
0.4693747,-0.17,Recall,8,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
-0.037182,-1.3,Precision,9,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
-0.037182,-0.17,Recall,9,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
-0.6836985,-1.3,Precision,6,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
-0.6836985,-0.17,Recall,6,word2vec,w2v_twitter_en_debias_6_max.txt.vectors
1.57965614,1.71,Precision,7,word2vec,w2v_twitter_en_debias_6.txt.vectors
1.57965614,-3.45,Recall,7,word2vec,w2v_twitter_en_debias_6.txt.vectors
0.89903205,1.71,Precision,8,word2vec,w2v_twitter_en_debias_6.txt.vectors
0.89903205,-3.45,Recall,8,word2vec,w2v_twitter_en_debias_6.txt.vectors
-0.1711796,1.71,Precision,9,word2vec,w2v_twitter_en_debias_6.txt.vectors
-0.1711796,-3.45,Recall,9,word2vec,w2v_twitter_en_debias_6.txt.vectors
0.23256648,1.71,Precision,6,word2vec,w2v_twitter_en_debias_6.txt.vectors
0.23256648,-3.45,Recall,6,word2vec,w2v_twitter_en_debias_6.txt.vectors
0.54512119,-0.89,Precision,7,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.54512119,-2.87,Recall,7,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.18094404,-0.89,Precision,8,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.18094404,-2.87,Recall,8,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.00076747,-0.89,Precision,9,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.00076747,-2.87,Recall,9,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.41584435,-0.89,Precision,6,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
0.41584435,-2.87,Recall,6,word2vec,w2v_twitter_en_debias_7_max.txt.vectors
1.17804868,-0.26,Precision,7,word2vec,w2v_twitter_en_debias_7.txt.vectors
1.17804868,-1.81,Recall,7,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.4230809,-0.26,Precision,8,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.4230809,-1.81,Recall,8,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.227931,-0.26,Precision,9,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.227931,-1.81,Recall,9,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.46688565,-0.26,Precision,6,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.46688565,-1.81,Recall,6,word2vec,w2v_twitter_en_debias_7.txt.vectors
0.91566055,-0.02,Precision,7,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.91566055,-3.45,Recall,7,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
-0.2691538,-0.02,Precision,8,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
-0.2691538,-3.45,Recall,8,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.14362802,-0.02,Precision,9,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.14362802,-3.45,Recall,9,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.4803844,-0.02,Precision,6,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.4803844,-3.45,Recall,6,word2vec,w2v_twitter_en_debias_8_max.txt.vectors
0.57368623,7.89,Precision,7,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.57368623,-5.09,Recall,7,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.01190488,7.89,Precision,8,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.01190488,-5.09,Recall,8,word2vec,w2v_twitter_en_debias_8.txt.vectors
-0.0155685,7.89,Precision,9,word2vec,w2v_twitter_en_debias_8.txt.vectors
-0.0155685,-5.09,Recall,9,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.54388352,7.89,Precision,6,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.54388352,-5.09,Recall,6,word2vec,w2v_twitter_en_debias_8.txt.vectors
0.45110375,12.99,Precision,7,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
0.45110375,2.45,Recall,7,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
0.80729537,12.99,Precision,8,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
0.80729537,2.45,Recall,8,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
-0.0296505,12.99,Precision,9,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
-0.0296505,2.45,Recall,9,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
0.82479579,12.99,Precision,6,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
0.82479579,2.45,Recall,6,word2vec,w2v_twitter_en_debias_all_weat.txt.vectors
-1.2152813,2.71,Precision,7,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
-1.2152813,-1.81,Recall,7,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
-1.4045962,2.71,Precision,8,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
-1.4045962,-1.81,Recall,8,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
0.31937313,2.71,Precision,9,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
0.31937313,-1.81,Recall,9,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
-0.9503574,2.71,Precision,6,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
-0.9503574,-1.81,Recall,6,word2vec,w2v_twitter_en_debias_max_all_weat.txt.vectors
0.94389907,4.77,Precision,7,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.94389907,0.89,Recall,7,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.13206449,4.77,Precision,8,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.13206449,0.89,Recall,8,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.07279175,4.77,Precision,9,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.07279175,0.89,Recall,9,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.29345836,4.77,Precision,6,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.29345836,0.89,Recall,6,word2vec,w2v_twitter_en_debias_max_pleasant_female.txt.vectors
0.6950325,3.14,Precision,7,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
0.6950325,-3.53,Recall,7,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
1.03523138,3.14,Precision,8,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
1.03523138,-3.53,Recall,8,word2vec,w2v_twitter_en_debias_pleasant_female.txt.vectors
